               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065357,            0.026978,            0.061719,             0.42434,             0.22173,            0.078662,            0.034626,            0.012737,           0.0093501,            0.023392,            0.070341,           0.0032955,           0.0032955
                   1,            0.046202,            0.019196,            0.059794,            0.098182,             0.53326,            0.084706,            0.052915,            0.015478,           0.0041677,            0.022379,            0.040275,           0.0065632,           0.0065632
                   2,            0.038793,            0.015032,            0.054703,              0.3056,             0.55307,             0.22012,             0.12639,           0.0096376,           0.0039784,            0.021707,            0.010144,           0.0097649,           0.0097649
                   3,            0.034586,            0.012737,            0.055746,             0.43994,             0.50626,             0.26028,             0.17902,           0.0068139,           0.0037837,            0.021235,            0.009703,            0.009703,            0.009703
                   4,            0.031208,            0.010901,            0.053679,             0.43709,             0.43575,             0.21865,             0.13873,              0.0115,           0.0033027,            0.020228,            0.009703,            0.009703,            0.009703
                   5,            0.030259,            0.010147,            0.053377,             0.25174,             0.63458,             0.29492,             0.21396,           0.0063711,           0.0025164,            0.019416,            0.009604,            0.009604,            0.009604
                   6,            0.029994,            0.009919,            0.053513,             0.27295,             0.78755,             0.32048,             0.24846,           0.0070476,           0.0025123,            0.018862,            0.009505,            0.009505,            0.009505
                   7,            0.025336,           0.0091655,            0.048248,             0.39722,             0.59256,             0.36795,              0.3119,           0.0046767,           0.0019842,            0.018324,            0.009406,            0.009406,            0.009406
                   8,            0.025727,           0.0086639,            0.047914,             0.47553,              0.6287,             0.44001,             0.33012,           0.0060162,            0.002114,            0.017545,            0.009307,            0.009307,            0.009307
                   9,             0.02406,           0.0084139,            0.045245,             0.41002,              0.7729,              0.4446,             0.36789,           0.0049734,           0.0020017,            0.016901,            0.009208,            0.009208,            0.009208
                  10,            0.024355,           0.0082323,            0.047736,             0.35546,             0.83247,             0.48438,             0.38951,           0.0049883,            0.002285,            0.016426,            0.009109,            0.009109,            0.009109
                  11,            0.020124,           0.0079243,            0.043535,             0.37399,             0.74587,             0.46889,             0.35697,           0.0064604,            0.002305,            0.016038,             0.00901,             0.00901,             0.00901
                  12,            0.023326,           0.0080667,            0.045046,             0.37997,             0.82524,              0.4677,             0.38147,           0.0051651,           0.0019737,            0.015599,            0.008911,            0.008911,            0.008911
                  13,            0.022366,           0.0080797,             0.04453,              0.3855,             0.73185,             0.47318,             0.37731,           0.0064384,           0.0021131,            0.015109,            0.008812,            0.008812,            0.008812
                  14,            0.022703,           0.0077946,            0.045353,             0.39255,             0.76341,             0.46005,              0.3838,           0.0055568,           0.0020533,            0.015422,            0.008713,            0.008713,            0.008713
                  15,            0.021124,           0.0077623,            0.041807,             0.41648,             0.73947,             0.51038,             0.44299,            0.003726,           0.0018775,            0.014102,            0.008614,            0.008614,            0.008614
                  16,            0.021603,           0.0073017,             0.04127,             0.48247,              0.7577,             0.50542,             0.43142,           0.0041305,           0.0021102,            0.014692,            0.008515,            0.008515,            0.008515
                  17,             0.02082,           0.0075304,            0.039842,             0.52365,             0.78457,             0.56742,             0.48194,           0.0047702,            0.001856,            0.013893,            0.008416,            0.008416,            0.008416
                  18,             0.01942,           0.0073036,            0.039585,             0.54521,             0.79728,             0.61153,             0.49644,           0.0048819,            0.001709,            0.012833,            0.008317,            0.008317,            0.008317
                  19,            0.020276,           0.0070135,            0.038977,             0.56807,             0.71651,             0.61195,             0.54949,           0.0041436,           0.0021174,            0.013022,            0.008218,            0.008218,            0.008218
                  20,            0.019463,           0.0072244,            0.037962,             0.50404,             0.70632,             0.55862,              0.4904,           0.0046271,           0.0020041,            0.014738,            0.008119,            0.008119,            0.008119
                  21,            0.019494,           0.0071166,            0.036746,             0.62736,             0.74754,             0.71045,             0.60589,            0.004052,           0.0016838,            0.010885,             0.00802,             0.00802,             0.00802
                  22,            0.021808,           0.0072705,            0.037424,             0.63902,             0.76957,             0.69272,             0.60398,           0.0041561,           0.0016822,            0.010609,            0.007921,            0.007921,            0.007921
                  23,              0.0205,               0.007,            0.034584,             0.66456,             0.79755,              0.7276,             0.63429,           0.0038637,            0.001686,            0.010288,            0.007822,            0.007822,            0.007822
                  24,            0.019912,           0.0073925,            0.034725,             0.71923,             0.79744,             0.75684,              0.6666,           0.0043336,           0.0016574,           0.0091471,            0.007723,            0.007723,            0.007723
                  25,            0.019043,           0.0069442,            0.032725,             0.70051,             0.77402,             0.76048,             0.64607,           0.0045534,           0.0016881,           0.0090332,            0.007624,            0.007624,            0.007624
                  26,            0.018902,           0.0068802,            0.032487,             0.69377,             0.80626,             0.77662,             0.69995,           0.0038248,            0.001683,           0.0081975,            0.007525,            0.007525,            0.007525
                  27,            0.018507,           0.0069088,            0.029156,             0.67128,             0.72926,             0.79668,             0.70525,           0.0039763,           0.0017099,           0.0080949,            0.007426,            0.007426,            0.007426
                  28,            0.018952,           0.0066838,            0.031926,             0.82681,             0.81288,             0.88714,             0.80214,           0.0038313,           0.0016498,           0.0065798,            0.007327,            0.007327,            0.007327
                  29,            0.019646,           0.0069148,            0.030331,             0.84393,             0.82947,             0.84587,             0.75451,           0.0039237,           0.0017264,           0.0063995,            0.007228,            0.007228,            0.007228
                  30,             0.01942,           0.0070302,            0.028757,               0.891,             0.80398,             0.86408,             0.78986,           0.0035672,           0.0015995,           0.0059652,            0.007129,            0.007129,            0.007129
                  31,             0.01887,           0.0069076,            0.027127,             0.85919,             0.83423,             0.85687,             0.78098,           0.0034364,           0.0016408,           0.0055953,             0.00703,             0.00703,             0.00703
                  32,             0.01942,           0.0067643,            0.028423,             0.82635,             0.81349,             0.86742,              0.7854,            0.003649,            0.001688,            0.005356,            0.006931,            0.006931,            0.006931
                  33,            0.017068,           0.0067545,            0.024918,             0.93606,             0.84589,             0.89305,             0.81559,            0.003278,           0.0015762,           0.0046317,            0.006832,            0.006832,            0.006832
                  34,             0.01849,           0.0069143,            0.025499,             0.96061,             0.82432,             0.88382,             0.79631,           0.0036329,           0.0018671,           0.0034531,            0.006733,            0.006733,            0.006733
                  35,            0.017979,           0.0066107,            0.024574,             0.96872,             0.85356,             0.88532,             0.80701,           0.0042368,           0.0019042,           0.0033337,            0.006634,            0.006634,            0.006634
                  36,            0.018664,           0.0067479,             0.02423,             0.95615,             0.86169,             0.88959,             0.83148,           0.0032676,           0.0015922,           0.0029308,            0.006535,            0.006535,            0.006535
                  37,            0.018877,           0.0068285,            0.023903,             0.97531,             0.86257,             0.91312,             0.85551,            0.003092,           0.0015887,           0.0029444,            0.006436,            0.006436,            0.006436
                  38,            0.018619,           0.0067111,            0.022719,             0.90042,             0.83322,             0.88377,             0.81566,           0.0031518,           0.0016093,           0.0036892,            0.006337,            0.006337,            0.006337
                  39,            0.018263,           0.0065626,            0.023614,             0.96434,             0.86305,             0.89978,             0.84228,           0.0033286,             0.00168,           0.0027264,            0.006238,            0.006238,            0.006238
                  40,            0.017187,           0.0065354,            0.021013,              0.9903,             0.84891,             0.93602,             0.86278,           0.0035593,            0.001776,           0.0022888,            0.006139,            0.006139,            0.006139
                  41,            0.016943,           0.0063217,            0.020861,             0.97565,             0.85133,             0.93748,             0.86264,           0.0030862,           0.0015282,           0.0028281,             0.00604,             0.00604,             0.00604
